號碼1, 號碼2, 號碼3, 號碼4, 號碼5
3,5,8,18,34
29,31,32,35,39
24,27,33,38,39
2,4,5,18,22
1,4,8,16,26
3,9,10,18,31
6,10,13,14,38
2,3,11,27,28
6,7,9,11,26
8,10,22,23,36
4,16,22,30,34
1,4,15,29,35
3,28,33,36,39
5,13,19,33,38
10,15,16,26,37
1,3,5,9,25
1,5,10,31,36
15,22,27,30,38
3,9,29,36,39
11,23,26,33,35
3,6,7,33,37
4,16,17,18,19
5,12,24,27,37
4,5,26,37,39
3,4,17,25,35
3,19,23,27,31
2,12,30,35,36
6,19,25,37,39
17,31,33,34,35
13,17,36,37,38
1,14,19,27,37
1,21,24,27,38
1,2,6,13,18
12,20,21,25,30
2,17,22,30,36
8,16,19,21,37
24,26,28,37,39
2,25,28,32,34
3,8,13,17,37
9,15,27,37,38
4,11,16,20,22
2,5,22,32,35
15,17,28,35,38
9,11,14,30,35
4,12,20,22,34
4,9,15,18,29
22,23,31,33,36
11,12,16,22,29
1,7,11,14,29
4,20,23,32,38
3,6,7,11,22
3,5,11,16,23
7,8,19,20,31
2,5,13,25,33
5,10,22,32,38
5,6,7,20,22
6,8,13,35,36
6,7,14,30,35
8,14,16,32,38
10,11,14,26,32
2,16,17,26,33
19,21,26,31,37
3,4,5,9,10
6,11,24,32,37
13,17,21,25,28
2,19,29,30,39
11,18,23,27,37
10,21,33,35,38
18,20,28,30,37
9,14,22,27,39
4,11,17,20,32
3,9,27,30,33
21,22,25,30,37
1,5,21,32,37
11,27,28,29,37
10,11,14,21,33
1,16,33,37,39
7,22,35,38,39
9,17,19,23,27
3,6,15,19,24
15,23,34,36,37
1,3,12,23,31
14,20,27,33,38
1,3,10,11,35
2,5,9,27,29
10,17,32,38,39
10,27,31,32,33
2,3,13,17,35
15,20,28,36,37
3,15,17,25,36
8,16,18,19,35
4,12,29,33,36
1,14,32,34,36
6,9,12,22,31
1,8,9,30,35
1,3,18,22,28
3,11,21,23,36
6,10,21,32,38
10,17,19,29,37
10,22,26,32,33
14,20,21,23,34
12,15,16,23,28
6,13,16,32,39
6,11,15,28,31
20,25,31,35,38
6,20,22,36,37
3,18,19,21,22
6,8,22,29,38
23,24,28,30,31
4,16,27,30,37
2,4,15,17,30
7,11,16,34,36
12,18,31,38,39
5,9,17,24,25
21,26,29,30,34
1,3,4,35,37
3,5,12,15,33
1,3,15,18,35
2,7,10,15,33
23,25,29,31,32
11,27,30,31,38
7,14,28,29,38
7,15,22,26,37
5,12,13,21,36
17,19,29,36,37
1,3,5,19,38
26,34,36,37,39
9,19,23,36,38
2,6,20,23,36
8,11,15,20,36
5,10,27,37,38
2,8,16,18,36
12,21,23,38,39
8,12,22,35,36
18,19,22,26,28
7,8,9,14,34
2,6,16,27,39
11,16,18,19,25
10,16,26,38,39
5,24,29,34,35
1,2,4,13,27
7,11,12,24,38
7,17,27,28,33
4,11,20,34,36
5,7,30,35,38
10,21,23,27,30
1,10,16,26,29
11,12,18,23,24
2,12,15,24,35
5,9,14,20,33
4,10,12,23,26
1,3,6,21,27
8,14,22,27,35
1,13,31,34,35
4,7,15,22,30
3,9,21,27,36
12,21,24,25,39
2,3,21,26,30
13,15,18,19,33
1,3,10,14,31
1,2,9,19,31
3,9,10,13,17
6,17,21,26,28
15,28,35,36,39
6,13,15,25,28
2,10,21,22,38
3,12,20,34,35
6,14,20,28,35
17,18,32,35,37
3,6,10,17,28
16,20,21,22,25
10,14,25,31,36
9,15,22,34,36
4,10,12,21,27
3,7,12,17,37
9,24,32,36,39
3,6,13,28,35
5,6,11,16,37
2,7,13,18,28
12,28,31,35,39
4,9,18,25,39
12,13,16,26,37
5,6,11,31,35
1,12,31,38,39
1,7,11,15,29
4,14,33,36,37
7,11,18,20,22
4,6,14,26,33
9,10,21,33,35
14,19,27,30,38
5,10,11,32,37
3,5,28,32,34
1,3,16,24,31
11,13,15,23,29
14,23,26,27,34
5,16,22,26,39
1,15,32,34,38
5,13,14,17,24
16,23,29,36,39
1,7,9,20,32
2,9,32,36,37
8,12,13,23,36
4,20,24,28,38
6,10,21,24,31
7,11,17,23,25
3,4,6,14,20
3,11,20,21,36
1,4,27,34,35
11,19,24,31,32
18,19,30,33,38
3,13,26,32,34
14,19,20,29,32
3,12,17,30,38
1,2,17,20,37
5,8,35,36,37
2,8,26,32,34
2,9,15,29,38
2,10,11,14,22
12,13,16,20,32
10,12,15,16,23
1,21,22,25,27
3,13,17,32,39
25,26,32,36,37
2,21,37,38,39
15,18,27,28,31
12,16,25,27,39
2,17,26,33,35
8,11,17,19,23
3,15,16,20,22
4,20,25,33,34
9,12,15,26,33
17, 18, 23, 24, 28
04, 21, 24, 33, 35
11, 17, 20, 22, 29
02, 13, 31, 33, 36
01, 09, 14, 31, 33
01, 02, 13, 23, 37
08, 17, 18, 19, 36 
16, 21, 23, 29, 30 
01, 19, 22, 25, 37
07, 24, 26, 34, 36
08, 10, 26, 28, 37
05, 17, 24, 33, 34
14, 19, 24, 30, 36
01, 11, 27, 29, 31
06, 20, 26, 30, 34
07, 11, 12, 37, 38
02, 03, 21, 23, 34
01, 09, 17, 18, 39
11, 12, 18, 20, 36
01, 11, 15, 18, 37
01, 12, 14, 24, 30
02, 04, 16, 29, 38
